word,definition
naÃ¯ve,adj. inexperienced or gullible
nascent,adj. just beginning or in the early stages
neglect,v. to abandon or leave uncared-for
nonplussed,adj. confused and baffled
notoriety,n. fame for doing something negative or criminal
nuance,n. subtle shades of difference
obdurate,"adj. stubborn, obstinate"
obscure,"adj. mysterious or not well-known<div class=""mailmunch-forms-in-post-middle"" style=""display: none !important;""></div>"
obsequious,adj. overly fawning and helpful in a way that is disingenuous
obstinate,"adj. stubborn, uncompromising"
obviate,v. to forestall the need for something
occlude,v. to block or obstruct
occult,n. the mystical and supernatural
offset,v. to counterbalance or counteract
olfactory,adj. relating to smell or the sense of smell
omniscience,n. the quality or state of being all-knowing
onerous,adj. difficult or burdensome
opaque,adj. not see-through; blocking light
opportunism,n. the practice of taking advantage of opportunities as they arise without particular concern for morality or ethics
opprobrium,n. criticism or condemnation
oscillate,"v. to swing back and forth between two points, poles, or positions"
ostentatious,adj. overly showy in a way that is gaudy or vulgar
outstrip,v. to overtake or outrun
overshadow,v. to literally cast a shadow over
painstaking,"adj. attentive to detail, meticulous"
partial,adj. incomplete
partisan,"n. a devoted supporter of a group, cause, or person"
patent,"adj. blatant, obvious"
paucity,"n. scarcity, poverty"
pedantic,"adj. overly concerned with irrelevant detail, fussy"
pedestrian,"adj. boring, monotonous, run-of-the-mill"
perfidy,n. treachery or deceit
perfunctory,"adj. done without much effort, care, or thought"
peripheral,adj. on the edge or periphery; not centrally important
permeate,v. to pervade or penetrate throughout
perseverance,n. persistence in the face of obstacles
peruse,v. to read something carefully and closely
pervasive,"adj. found everywhere, widespread; often has a negative connotation"
phenomena,n. things that happen
phlegmatic,adj. cool and unruffled
pith,n. the essential substance of something
placate,"v. to calm, esp. an angry or upset person"
plastic,adj. easily shaped or molded
platitude,n. a trite or clichÃ© statement
plausible,"adj. believable, reasonable"
plethora,n. a surplus or overabundance of something
plummet,v. to fall quickly and far
polarize,v. to cause a sharp division between two groups
polemical,"adj. angry, hostile, harshly critical"
pragmatic,adj. practical
precarious,adj. uncertain or unstable
preceded,adj. went before
precipitate,v. to cause
precursor,n. a forerunner
prescient,"adj. knowing things before they happen, prophetic"
presumptuous,adj. overly familiar; invades social boundaries
prevail,"v. to succeed, esp. with respect to vanquishing an opponent"
prevaricate,v. to evade or deceive without outright lying
pristine,"adj. untouched, clean, pure"
probity,n. integrity and honor
prodigal,n. a reckless spender
prodigious,"adj. enormous, immense, gigantic"
profligate,"adj. extravagant and wasteful, esp. in an immoral way"
proliferate,v. to multiply and spread rapidly
propitiate,"v. to obtain special favor from someone, esp. a powerful person or deity, by performing a pleasing action"
propriety,"n. appropriateness, manners, decorum"
prospective,adj. potential or likely
qualification,n. credential
quotidian,adj. relating to the everyday or mundane
rationalize,v. to attempt to justify with reasons that are only superficially valid
reconcile,v. to bring into harmony
recondite,adj. arcane or obscure
refute,v. to rebut or disprove
relentless,"adj. never stopping, constant"
relevant,adj. relating to the topic or issue at hand
reproach,v. to scold or express criticism
repudiate,v. to renounce or disown
rescind,v. to take back or retract (an offer or statement)
respectively,adv. in the sequential order previously given
reticent,adj. hesitant to speak
reverent,adj. solemn and respectful
rhetoric,n. the art of effective communication (written or verbal)
salubrious,adj. health-promoting
sanction,v. to give official permission
satiate,v. to completely satisfy (with respect to hunger or appetite)
secular,adj. of or relating to the world or worldly matters (as opposed to religious ones)
sediment,n. material that settles at the bottom of a body of water
sedulous,adj. dedicated and careful
simultaneous,adj. occurring at the same moment
solicitous,"adj. considerate, attentive"
soporific,adj. makes sleepy
sparse,adj. scattered or scarce
specious,adj. spurious; appearing true but actually false
sporadic,adj. occasional or scattered
spurious,adj. fake or false
stolid,adj. calm and dependable
subjective,adj. open to personal interpretation; not based in objective fact
substantiate,v. to corroborate or give evidence of something
subversive,adj. meant to undercut established institutions or norms
sufficient,adj. enough for a given purpose
superbly,adv. excellently
supine,adj. laying back with the face upward (opposite position to prone)
supplant,v. to overtake or replace
sycophant,"n. a fawning, insincere admirer"
synthesize,v. to combine disparate parts into a coherent whole
tacit,adj. unspoken; implicit
taciturn,adj. reticent or reserved; tending towards silence
temperance,"n. moderation and restraint, sometimes used to specifically describe abstinence from alcohol"
tenuous,"adj. weak, flimsy, insubstantial"
timorous,adj. meek or timid
tirade,n. an angry rant
torpor,"n. tiredness, lethargy"
tortuous,adj. winding or twisty
tractable,adj. can be easily influenced or managed
transient,adj. passes quickly; short-lived
ubiquitous,adj. ever-present or universal
unadorned,adj. plain; unembellished
undermine,v. to weaken or compromise
underscore,v. to line underneath for emphasis
untenable,"adj. weak or unsupportable, esp. with respect to an opinion or situation"
vacillate,v. to shift between multiple options or opinions
venality,n. the state of being capable of being bribed
venerate,v. to give a high degree of respect; may border on worship
veracity,n. Truth and factual accuracy
verbose,adj. long-winded; loquacious
vexation,"n. state of being frustrated, irritated, or concerned."
volatile,adj. easily changeable or extreme; unstable
whimsical,adj. fanciful or capricious
zeal,n. passion or fervor
